# BEGIN PLOT
Legend=1
LogY=1
Title=Distributions of the longitudinal momentum fraction of the hadron with respect to the jet.
XLabel=${z}$
YLabel=$\frac{1}{N_{\textrm{Z+jet}}} \frac{\textrm{d} N}{\textrm{d}z}$
YLabelSep=5.5
ErrorBars=1
NormalizeToIntegral=1
LogX=1
CustomLegend=${50} < p_{{\textrm{{T,jet}}}} < {100}$ GeV
DrawOnly=/LHCB_2019_I1730448/d01-x01-y03 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y03
LegendOnly=/LHCB_2019_I1730448/d01-x01-y03 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y03
RatioPlot=1
RatioPlotReference=/LHCB_2019_I1730448/d01-x01-y03
# END PLOT

# BEGIN HISTO1D /LHCB_2019_I1730448/d01-x01-y03
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/LHCB_2019_I1730448/d01-x01-y03
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-03	6.000000e-03	3.710000e+01	1.810000e+00	1.810000e+00
6.000000e-03	8.000000e-03	9.800000e+01	2.950000e+00	2.950000e+00
8.000000e-03	1.000000e-02	1.360000e+02	3.470000e+00	3.470000e+00
1.000000e-02	1.500000e-02	1.450000e+02	2.270000e+00	2.270000e+00
1.500000e-02	2.000000e-02	1.300000e+02	2.150000e+00	2.150000e+00
2.000000e-02	3.000000e-02	1.010000e+02	1.340000e+00	1.340000e+00
3.000000e-02	4.000000e-02	7.310000e+01	1.140000e+00	1.140000e+00
4.000000e-02	5.000000e-02	5.620000e+01	1.000000e+00	1.000000e+00
5.000000e-02	6.000000e-02	4.350000e+01	8.790000e-01	8.790000e-01
6.000000e-02	8.000000e-02	3.310000e+01	5.420000e-01	5.420000e-01
8.000000e-02	1.000000e-01	2.260000e+01	4.480000e-01	4.480000e-01
1.000000e-01	1.250000e-01	1.660000e+01	3.430000e-01	3.430000e-01
1.250000e-01	1.500000e-01	1.160000e+01	2.870000e-01	2.870000e-01
1.500000e-01	2.000000e-01	7.170000e+00	1.600000e-01	1.600000e-01
2.000000e-01	3.000000e-01	3.440000e+00	7.820000e-02	7.820000e-02
3.000000e-01	4.000000e-01	1.490000e+00	5.140000e-02	5.140000e-02
4.000000e-01	5.000000e-01	7.360000e-01	3.620000e-02	3.620000e-02
5.000000e-01	7.500000e-01	2.540000e-01	1.340000e-02	1.340000e-02
# END HISTO1D


# BEGIN HISTO1D //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y03
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y03
ScaledBy=2.70270270270270285e-03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-03	6.000000e-03	5.405405e+00	2.702703e+00	2.702703e+00
6.000000e-03	8.000000e-03	2.297297e+01	5.571764e+00	5.571764e+00
8.000000e-03	1.000000e-02	1.756757e+01	4.872366e+00	4.872366e+00
1.000000e-02	1.500000e-02	2.594594e+01	3.744975e+00	3.744975e+00
1.500000e-02	2.000000e-02	1.891892e+01	3.197881e+00	3.197881e+00
2.000000e-02	3.000000e-02	1.378378e+01	1.930116e+00	1.930116e+00
3.000000e-02	4.000000e-02	9.189189e+00	1.575933e+00	1.575933e+00
4.000000e-02	5.000000e-02	9.729730e+00	1.621622e+00	1.621622e+00
5.000000e-02	6.000000e-02	6.486486e+00	1.324048e+00	1.324048e+00
6.000000e-02	8.000000e-02	3.378378e+00	6.756756e-01	6.756756e-01
8.000000e-02	1.000000e-01	1.756757e+00	4.872366e-01	4.872366e-01
1.000000e-01	1.250000e-01	1.837838e+00	4.457411e-01	4.457411e-01
1.250000e-01	1.500000e-01	1.621622e+00	4.187008e-01	4.187008e-01
1.500000e-01	2.000000e-01	1.081081e+00	2.417370e-01	2.417370e-01
2.000000e-01	3.000000e-01	1.621622e-01	6.620242e-02	6.620242e-02
3.000000e-01	4.000000e-01	1.081081e-01	5.405406e-02	5.405406e-02
4.000000e-01	5.000000e-01	1.081081e-01	5.405406e-02	5.405406e-02
5.000000e-01	7.500000e-01	2.162162e-02	1.528879e-02	1.528879e-02
# END HISTO1D

