# BEGIN PLOT
Legend=1
LogY=1
Title=Distributions of the longitudinal momentum fraction of the hadron with respect to the jet.
XLabel=${z}$
YLabel=$\frac{1}{N_{\textrm{Z+jet}}} \frac{\textrm{d} N}{\textrm{d}z}$
YLabelSep=5.5
ErrorBars=1
NormalizeToIntegral=1
LogX=1
CustomLegend=${30} < p_{{\textrm{{T,jet}}}} < {50}$ GeV
DrawOnly=/LHCB_2019_I1730448/d01-x01-y02 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y02
LegendOnly=/LHCB_2019_I1730448/d01-x01-y02 //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y02
RatioPlot=1
RatioPlotReference=/LHCB_2019_I1730448/d01-x01-y02
# END PLOT

# BEGIN HISTO1D /LHCB_2019_I1730448/d01-x01-y02
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/LHCB_2019_I1730448/d01-x01-y02
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-03	6.000000e-03	2.450000e+00	2.950000e-01	2.950000e-01
6.000000e-03	8.000000e-03	1.340000e+01	6.890000e-01	6.890000e-01
8.000000e-03	1.000000e-02	3.420000e+01	1.100000e+00	1.100000e+00
1.000000e-02	1.500000e-02	6.770000e+01	9.810000e-01	9.810000e-01
1.500000e-02	2.000000e-02	8.510000e+01	1.100000e+00	1.100000e+00
2.000000e-02	3.000000e-02	8.220000e+01	7.640000e-01	7.640000e-01
3.000000e-02	4.000000e-02	6.500000e+01	6.800000e-01	6.800000e-01
4.000000e-02	5.000000e-02	5.320000e+01	6.150000e-01	6.150000e-01
5.000000e-02	6.000000e-02	4.300000e+01	5.530000e-01	5.530000e-01
6.000000e-02	8.000000e-02	3.290000e+01	3.420000e-01	3.420000e-01
8.000000e-02	1.000000e-01	2.400000e+01	2.920000e-01	2.920000e-01
1.000000e-01	1.250000e-01	1.660000e+01	2.170000e-01	2.170000e-01
1.250000e-01	1.500000e-01	1.180000e+01	1.830000e-01	1.830000e-01
1.500000e-01	2.000000e-01	7.810000e+00	1.050000e-01	1.050000e-01
2.000000e-01	3.000000e-01	3.770000e+00	5.180000e-02	5.180000e-02
3.000000e-01	4.000000e-01	1.610000e+00	3.380000e-02	3.380000e-02
4.000000e-01	5.000000e-01	7.180000e-01	2.260000e-02	2.260000e-02
5.000000e-01	7.500000e-01	2.430000e-01	8.320000e-03	8.320000e-03
# END HISTO1D


# BEGIN HISTO1D //work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y02
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//work/Rivet/Rivet.yoda/LHCB_2019_I1730448/d01-x01-y02
ScaledBy=1.28534704370179939e-03
Title=Rivet
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e-03	6.000000e-03	6.426735e-01	6.426735e-01	6.426735e-01
6.000000e-03	8.000000e-03	2.570694e+00	1.285347e+00	1.285347e+00
8.000000e-03	1.000000e-02	7.712080e+00	2.226286e+00	2.226286e+00
1.000000e-02	1.500000e-02	1.233933e+01	1.781029e+00	1.781029e+00
1.500000e-02	2.000000e-02	2.005142e+01	2.270375e+00	2.270375e+00
2.000000e-02	3.000000e-02	1.426735e+01	1.354197e+00	1.354197e+00
3.000000e-02	4.000000e-02	1.195373e+01	1.239544e+00	1.239544e+00
4.000000e-02	5.000000e-02	8.483290e+00	1.044221e+00	1.044221e+00
5.000000e-02	6.000000e-02	7.069409e+00	9.532389e-01	9.532389e-01
6.000000e-02	8.000000e-02	5.462725e+00	5.925156e-01	5.925156e-01
8.000000e-02	1.000000e-01	2.699229e+00	4.165000e-01	4.165000e-01
1.000000e-01	1.250000e-01	2.416452e+00	3.524758e-01	3.524758e-01
1.250000e-01	1.500000e-01	1.850900e+00	3.084833e-01	3.084833e-01
1.500000e-01	2.000000e-01	1.208226e+00	1.762379e-01	1.762379e-01
2.000000e-01	3.000000e-01	4.498715e-01	7.604216e-02	7.604216e-02
3.000000e-01	4.000000e-01	1.542416e-01	4.452572e-02	4.452572e-02
4.000000e-01	5.000000e-01	5.141388e-02	2.570694e-02	2.570694e-02
5.000000e-01	7.500000e-01	1.028278e-02	7.271021e-03	7.271021e-03
# END HISTO1D

